RepName	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53
FOXP3	0.236940032	0.062341059	0.154320551	0.409177299	0.030124069	0.021659488	0.679842211	0.113463139	0.419394403	0.021910434	0.023573741	0.19153175	0.129974275	0.074281504	0.073568889	0.053494385	0.237185809	0.183762341	0.126687509	0.084973756	0.048254877	0.231442919	0.281248979	0.568226381	0.547374527	0.475838375	0.802102028	0.021638216	0.524341986	0.073997246	0.053532898	1.078216915	0.484399734	0.178393814	0.583761613	1.412627561	0.207148179	0.287101971	0.281056928	0.571485964	0.179059713	0.448096213	0.277021251	0.343352352	0.086640805	0.481270114	0.353443575	0.532889047	0.030618758	0.130113293	0.363991228	2.264296427	0.409352393
HAVCR2	1.816540245	0.342875822	0.643002296	2.244275489	0.25605459	0.064978463	1.014836924	0.680778832	2.190170771	0.335959987	0.48326168	1.803590645	0.56051406	2.36215184	1.589087993	0.624101154	1.100542152	0.905685823	1.124351642	0.99419294	0.554931089	0.713615667	1.143745849	2.376219413	2.12962902	1.512486263	2.313755849	0.881757312	1.617461719	0.460427307	0.767304873	2.907334896	3.307280946	1.546079719	2.408016654	2.386853465	1.298659735	1.728853173	1.180439096	2.616804153	2.62078307	1.969264937	0.784893545	1.809559693	0.658470115	1.571205371	1.889316562	2.206347631	0.483776371	1.10596299	2.560490017	3.370517582	1.660151372
IDO1	4.848696374	0.717601348	0.248691461	3.57388842	0.554807975	0.169537652	2.186629176	0.061249814	19.68589926	1.755372506	0.15195871	2.998394401	0.36654944	0.930290657	1.422697441	1.617417851	0.345099911	0.380748405	1.020800585	0.305174668	2.621756102	14.49278572	0.241727907	0.998957618	27.63675431	40.70435196	16.79442985	0.28892726	2.524741109	0.794989523	0.492969233	22.37569476	37.96208998	37.55116471	28.38366787	51.53154512	6.427039036	1.166738262	2.510528114	3.794648867	0.269821631	1.259635021	5.891618137	1.5040076	2.010583333	19.70882929	2.047540781	3.512539051	1.917324133	0.681462776	23.79843106	17.69969706	7.916180511
IL10	1.309359508	0.470660792	0.168156599	0.67748053	1.125426122	0.010114899	0.506133503	0.259452885	0.380830335	0	0.594477776	0.626112222	0.386946531	0.270575618	0.803939593	1.115848168	0.677881041	0.220670533	1.649157134	0.484125556	0.833789275	0	0.595418019	0.940820301	0.766865505	0.301577123	0.412996934	0.353673782	0.792700907	0.737203926	0.399994577	0.089914861	0.514829233	3.540642557	0.08178434	0.664241329	0.156268134	0.26815107	0.28875555	0.365206653	0.653757998	0.704873222	0.190971628	0.606707975	0.356056169	0.515605978	0.918316088	1.266115428	0.034317226	0.972198655	0.67993011	0.419738392	0.223027024
LAG3	2.006116392	1.386911757	0.459561484	0.944838942	0.395772705	1.183787384	0.849170845	0.1644898	2.522374322	0.368462376	0.557485022	0.838787059	0.221989767	1.561467226	0.603130074	0.580992896	0.727936906	0.303510239	0.108188065	0.428694821	0.355027049	1.398730128	2.266312129	3.827718681	0.844995993	1.14315098	1.594223543	1.137139244	1.92887847	0.51849728	0.300083191	4.634210776	1.404488127	2.2187536	2.853058476	0.348145493	0.561054126	0.2361582	3.958414599	1.92843049	2.515038977	3.643822341	0.436743582	4.07696301	1.183826387	0.788511502	0.614640227	3.842031152	0.18021784	1.179513616	1.002602305	1.980207359	0.645372981
NOS2	0.028834257	0.155524337	0.394378639	0.072428444	0.109977848	0.158150202	0.10071836	0.128555566	0.076556878	0.010665502	0.223765653	0.03496249	0.047451395	0.08678052	0.096691495	0.084629519	0.0311733	0.124592932	0.046251452	0.08686292	0.08808517	0.126743804	0.082143371	0.30174513	0.0624491	0.086860244	0.041297073	0.244892074	0.090847344	0.192107623	0.0130293	0.112468182	0.09757026	0.16282136	0.042624285	0.042680795	0	0.018228877	0.123130919	0.043924167	0.07131453	0.232473265	0.110767717	0.210049461	0.379572991	0.051677507	0.286225822	0.157004228	0.245924516	0.011875537	0.128304689	0.088344924	0.058118507
PDCD1	0.240976423	0.063403069	0	0.302652972	0.183823487	0	0.420866575	0	0.213269497	0	0.323666966	0.097397294	0.024785335	0.045328156	0.044893303	0	0	0	0.048317135	0.051852795	0.147230769	0.294232079	0.171624117	0.197013545	0.260952808	0.622214379	0.784390608	0.099030753	0.149136064	0.075257825	0	1.409894837	0	0.18143284	0.267167826	0.208072688	0	0.152344119	0.171506923	0.091771817	0.198665546	0.359786648	0.24149181	0.268979556	0.951661155	0.259130535	0.196071633	0.19967208	0	0	0.689323031	0.527374771	0.242856783
PTGER4	0.906695277	0.776888502	0.52448957	0.606838568	0.341275786	0.451500085	0.598295397	0.184391952	0.897471939	0.105908674	0.790518515	0.144657633	0.309220682	0.255826843	1.100170417	0.266656828	0.193469733	0.160599456	0.215286547	0.246443073	0.437343865	1.748012264	0.679737939	1.275783667	1.038702629	0.970339711	1.933904108	0.269653448	1.139727129	1.013430049	0.954186649	0.959759957	0.923458869	1.050932856	0.806839591	0.282547504	0.180521778	0.565666117	0.407564267	0.381646977	2.28675017	1.154232387	0.430405801	0.748531589	1.57048682	0.179605584	0.355278609	0.703269614	0.388505727	0.162145981	3.105541878	0.736277734	1.051179368
SMAD7	1.491121051	0.938270297	2.232338397	1.218616119	1.461086196	1.935195381	0.949477307	4.409568574	0.43865264	0.652538839	1.842948476	0.804702273	0.845032925	0.511980067	0.35682592	0.36415437	0.626668186	0.389520248	0.500262115	0.536869354	0.862279087	0.553890316	0.753856791	0.873621248	1.533767515	0.498893528	1.256760134	1.695085323	0.479256419	1.243569317	0.347334518	1.105883121	1.044673505	2.258000882	0.80098171	1.088043673	0.427105991	0.215090242	0.717468589	0.287933259	0.467483534	0.729975052	1.128098953	1.003821773	0.917865764	0.776885532	0.602869541	0.620502997	0.304832151	0.202402046	0.841067448	1.36783048	0.899839647
TGFB1	1.379423525	0.924466667	1.627340054	1.581295835	1.310364566	0.214128267	1.850710385	6.103649964	2.050057098	0.418777696	1.421622076	2.082856198	0.762933791	4.824717458	5.745755106	3.199553643	4.131620559	3.114336573	3.632098518	3.780272894	3.864132943	6.902351118	7.006761275	1.953376563	1.910904018	2.217691791	3.009210356	1.968045384	2.328275253	1.910146747	0.688002368	1.636976294	1.155925285	2.292709167	3.534821205	3.130176735	3.812228801	4.69557546	5.946123063	4.073787395	3.459947298	2.611328573	0.834640762	2.385269615	2.329792304	6.675044735	8.017566698	8.272005192	4.861372857	2.829894039	9.591758569	11.19255174	5.02490877
TIGIT	0.055531942	0.019176878	0.020344673	0.14384912	0.007942744	0	0.067544396	0.010316057	0.036860253	0.011554148	0	0.084167895	0	0.047005521	0.104747797	0.094031611	0.025015295	0.041530453	0.012526277	0	0.012723253	0.010170671	0.029662509	0.061291205	0.198446856	0.143386529	0.336212331	0.034231793	0.138252049	0	0.023524827	0.842719694	0.132124724	0.03919724	0.146223131	0.441819685	0.042014066	0.105321069	0.088926763	0.237919569	0.051504288	0.230078659	0.125214099	0.127232654	0.228443822	0.052251042	0.060998175	0.108460488	0.012917084	0.012865003	0.251514747	0.27344512	0.083947894
CD226	0.088220076	0.072077808	0.078627144	0.145788822	0.056670919	0.01018673	0.090360843	0.13708808	0.073967429	0.097895158	0.019402298	0.127613047	0.074500409	0.249789029	0.216252352	0.075477252	0.128284199	0.120378719	0.076340377	0.101908784	0	0.081637893	0.132274943	0.163990658	0.140785939	0.171840892	0.342174848	0.040706904	0.146290894	0.081204289	0.201417578	0.249021838	0.604899535	0.129347161	0.144138986	0.142039127	0.076815393	0.190799981	0.092529233	0.15560777	0.130148973	0.144194154	0.136490712	0.149480832	0.211890969	0.119830979	0.154139592	0.211052161	0.115203104	0.174020218	0.425022619	0.430848398	0.22461086
CD69	0.709156087	0.15908857	0.160441787	0.534396341	0.580824394	0.122828873	0.759889137	0.026625044	0.845633912	0.215370075	0.922422486	0.307744811	0.082920558	0.412818411	1.101413547	0.677507389	1.059905656	0.290298892	0.709452287	0.250576563	0.738851691	0.503121383	1.488606886	1.31823705	1.241643349	1.002275383	0.874739146	0.177926957	1.189397216	0.345030158	0.64763717	1.615965636	2.405979414	0.134887224	0.645538928	0.68506795	0.406632955	0.884852012	0.350646305	0.750510783	0.627720632	1.203683963	1.024864973	0.568348018	0.510984949	0.818770977	1.013105071	3.679372009	0.215308682	0.617957739	2.106866038	0.940991089	0.412692997
CXCL16	5.351308108	2.903580001	6.063606037	5.425713449	4.953980325	4.271858926	2.560778859	8.733471988	4.287209523	2.326559127	1.843495205	11.16009035	0.859468271	2.972792082	1.82747964	1.896851249	5.749947877	2.618982274	2.249134194	3.439791172	1.720313155	5.722515252	2.501279859	11.53969516	5.930980855	7.09435078	4.913722661	4.230337127	6.975412246	3.905059884	3.211577771	11.51399558	6.915331444	4.530530086	10.07004458	13.7918437	18.98462938	10.8598011	3.555425482	12.38339127	2.602103697	4.963332424	4.55871948	5.656122062	5.001851515	9.978724942	1.189838119	2.591096462	3.140921055	0.822979389	2.742528323	4.929674761	5.858378777
